# ## ## ## ##X#
 R X  X  X  X X
# ##X##X##X##X#
#X##X## ## ##X#
X XX X   X  X X
#X##X## ## ##X#
# ## ## ##X## #
               
# ## ## ##X## #
# ##X## ##X##X#
   X X   X  X X
# ##X## ##X##X#
# ##X## ## ## #
   X X   X X   
# ##X## ##X## #

episode  139 score 9944.00 average score 7589.18 epsilon 0.05
episode  140 score 9742.00 average score 7588.58 epsilon 0.05
episode  141 score 9661.00 average score 7587.21 epsilon 0.05
episode  142 score 9846.00 average score 7586.22 epsilon 0.05
episode  143 score 9957.00 average score 7587.31 epsilon 0.05
episode  144 score 9923.00 average score 7589.34 epsilon 0.05
episode  145 score 9922.00 average score 7591.36 epsilon 0.05
episode  146 score 9804.00 average score 7692.88 epsilon 0.05
episode  147 score 10076.00 average score 7694.41 epsilon 0.05
episode  148 score 9944.00 average score 7693.35 epsilon 0.05
episode  149 score 9981.00 average score 7695.01 epsilon 0.05
episode  150 score 9749.00 average score 7693.79 epsilon 0.05
episode  151 score 9901.00 average score 7694.02 epsilon 0.05
episode  152 score 10086.00 average score 7799.88 epsilon 0.05
episode  153 score 9982.00 average score 7800.10 epsilon 0.05
episode  154 score 9620.00 average score 7800.94 epsilon 0.05
episode  155 score -428.00 average score 7800.06 epsilon 0.05
episode  156 score 9973.00 average score 7803.37 epsilon 0.05
episode  157 score 9942.00 average score 7805.03 epsilon 0.05
episode  158 score 9830.00 average score 7804.06 epsilon 0.05
episode  159 score 9933.00 average score 7908.79 epsilon 0.05
episode  160 score 9949.00 average score 7910.92 epsilon 0.05
episode  161 score 10030.00 average score 7913.30 epsilon 0.05
episode  162 score 9672.00 average score 7914.57 epsilon 0.05
episode  163 score 10048.00 average score 7916.62 epsilon 0.05
episode  164 score 9913.00 average score 7917.07 epsilon 0.05
episode  165 score 9972.00 average score 7920.59 epsilon 0.05
episode  166 score 10088.00 average score 8026.71 epsilon 0.05
episode  167 score 9948.00 average score 8130.63 epsilon 0.05
episode  168 score 10123.00 average score 8234.70 epsilon 0.05
episode  169 score 9962.00 average score 8238.58 epsilon 0.05
episode  170 score 9826.00 average score 8340.96 epsilon 0.05
episode  171 score 10012.00 average score 8342.34 epsilon 0.05
episode  172 score 10081.00 average score 8447.83 epsilon 0.05
episode  173 score 10159.00 average score 8454.00 epsilon 0.05
episode  174 score 10101.00 average score 8559.61 epsilon 0.05
episode  175 score 10115.00 average score 8564.00 epsilon 0.05
episode  176 score 10130.00 average score 8566.74 epsilon 0.05
episode  177 score 9969.00 average score 8567.34 epsilon 0.05
episode  178 score 9820.00 average score 8568.87 epsilon 0.05
episode  179 score 10089.00 average score 8572.52 epsilon 0.05
episode  180 score 10141.00 average score 8677.49 epsilon 0.05
episode  181 score 9875.00 average score 8676.54 epsilon 0.05
episode  182 score 10163.00 average score 8677.01 epsilon 0.05
episode  183 score 10015.00 average score 8680.16 epsilon 0.05
episode  184 score 9980.00 average score 8680.79 epsilon 0.05
episode  185 score 9983.00 average score 8684.13 epsilon 0.05
episode  186 score 9989.00 average score 8686.74 epsilon 0.05
episode  187 score 9985.00 average score 8688.57 epsilon 0.05
episode  188 score 9743.00 average score 8687.20 epsilon 0.05
episode  189 score 9960.00 average score 8686.45 epsilon 0.05
episode  190 score 10126.00 average score 8689.21 epsilon 0.05
episode  191 score 10106.00 average score 8690.41 epsilon 0.05
episode  192 score 10178.00 average score 8696.40 epsilon 0.05
episode  193 score 10079.00 average score 8800.83 epsilon 0.05
episode  194 score 10130.00 average score 8803.11 epsilon 0.05
episode  195 score 10091.00 average score 8808.90 epsilon 0.05
episode  196 score 9944.00 average score 8913.50 epsilon 0.05
episode  197 score 10117.00 average score 8912.84 epsilon 0.05
episode  198 score 10102.00 average score 9017.66 epsilon 0.05
episode  199 score 10159.00 average score 9019.85 epsilon 0.05
episode  200 score 9979.00 average score 9022.02 epsilon 0.05
episode  201 score 9999.00 average score 9023.77 epsilon 0.05
episode  202 score 10015.00 average score 9129.24 epsilon 0.05
episode  203 score 10088.00 average score 9234.96 epsilon 0.05
episode  204 score 10101.00 average score 9236.36 epsilon 0.05
episode  205 score 10162.00 average score 9239.80 epsilon 0.05
episode  206 score 9930.00 average score 9343.38 epsilon 0.05
episode  207 score 10100.00 average score 9447.38 epsilon 0.05
episode  208 score 10149.00 average score 9449.27 epsilon 0.05
episode  209 score 10062.00 average score 9449.69 epsilon 0.05
episode  210 score 9983.00 average score 9448.68 epsilon 0.05
episode  211 score 10110.00 average score 9451.25 epsilon 0.05
episode  212 score 9884.00 average score 9554.53 epsilon 0.05
episode  213 score 10096.00 average score 9556.45 epsilon 0.05
episode  214 score 10050.00 average score 9560.39 epsilon 0.05
episode  215 score 10195.00 average score 9563.12 epsilon 0.05
episode  216 score 9998.00 average score 9564.73 epsilon 0.05
episode  217 score 10086.00 average score 9668.59 epsilon 0.05
episode  218 score 10183.00 average score 9670.83 epsilon 0.05
episode  219 score 10136.00 average score 9675.84 epsilon 0.05
episode  220 score 10157.00 average score 9677.68 epsilon 0.05
episode  221 score 10156.00 average score 9679.72 epsilon 0.05
episode  222 score 10116.00 average score 9680.15 epsilon 0.05
episode  223 score 10162.00 average score 9682.67 epsilon 0.05
episode  224 score 10182.00 average score 9686.59 epsilon 0.05
episode  225 score 10196.00 average score 9688.99 epsilon 0.05
episode  226 score 10173.00 average score 9692.19 epsilon 0.05
episode  227 score 10105.00 average score 9692.50 epsilon 0.05
episode  228 score 9951.00 average score 9691.44 epsilon 0.05
episode  229 score 10192.00 average score 9695.69 epsilon 0.05
episode  230 score 10193.00 average score 9699.28 epsilon 0.05
episode  231 score 9924.00 average score 9802.56 epsilon 0.05
episode  232 score 10174.00 average score 9805.27 epsilon 0.05
episode  233 score 10130.00 average score 9806.87 epsilon 0.05
episode  234 score 10176.00 average score 9809.90 epsilon 0.05
episode  235 score 10066.00 average score 9914.28 epsilon 0.05
episode  236 score 10153.00 average score 9918.08 epsilon 0.05
episode  237 score 10114.00 average score 9919.88 epsilon 0.05
episode  238 score 10125.00 average score 9920.12 epsilon 0.05
episode  239 score 10169.00 average score 9922.37 epsilon 0.05
episode  240 score 10180.00 average score 9926.75 epsilon 0.05
episode  241 score 10132.00 average score 9931.46 epsilon 0.05
episode  242 score 10180.00 average score 9934.80 epsilon 0.05
episode  243 score 10188.00 average score 9937.11 epsilon 0.05
episode  244 score 10125.00 average score 9939.13 epsilon 0.05
episode  245 score 10180.00 average score 9941.71 epsilon 0.05
episode  246 score 9989.00 average score 9943.56 epsilon 0.05
episode  247 score 10109.00 average score 9943.89 epsilon 0.05
episode  248 score 10110.00 average score 9945.55 epsilon 0.05
episode  249 score 10150.00 average score 9947.24 epsilon 0.05
episode  250 score 10166.00 average score 9951.41 epsilon 0.05
episode  251 score 10153.00 average score 9953.93 epsilon 0.05
episode  252 score 10033.00 average score 9953.40 epsilon 0.05
episode  253 score 10186.00 average score 9955.44 epsilon 0.05
episode  254 score 9795.00 average score 9957.19 epsilon 0.05
episode  255 score 10102.00 average score 10062.49 epsilon 0.05
episode  256 score 10152.00 average score 10064.28 epsilon 0.05
episode  257 score 10124.00 average score 10066.10 epsilon 0.05
episode  258 score 10135.00 average score 10069.15 epsilon 0.05
episode  259 score 10128.00 average score 10071.10 epsilon 0.05
episode  260 score 10159.00 average score 10073.20 epsilon 0.05
episode  261 score 10079.00 average score 10073.69 epsilon 0.05
episode  262 score 10082.00 average score 10077.79 epsilon 0.05
episode  263 score 10111.00 average score 10078.42 epsilon 0.05
episode  264 score 10198.00 average score 10081.27 epsilon 0.05
episode  265 score 10164.00 average score 10083.19 epsilon 0.05
episode  266 score 10121.00 average score 10083.52 epsilon 0.05
episode  267 score 10070.00 average score 10084.74 epsilon 0.05
episode  268 score 10137.00 average score 10084.88 epsilon 0.05
episode  269 score 10129.00 average score 10086.55 epsilon 0.05
episode  270 score 9988.00 average score 10088.17 epsilon 0.05
episode  271 score 10189.00 average score 10089.94 epsilon 0.05
episode  272 score 10171.00 average score 10090.84 epsilon 0.05
episode  273 score 10170.00 average score 10090.95 epsilon 0.05
episode  274 score 10113.00 average score 10091.07 epsilon 0.05
episode  275 score 10185.00 average score 10091.77 epsilon 0.05
episode  276 score 10096.00 average score 10091.43 epsilon 0.05
episode  277 score 10172.00 average score 10093.46 epsilon 0.05
episode  278 score 10178.00 average score 10097.04 epsilon 0.05
episode  279 score 10157.00 average score 10097.72 epsilon 0.05
episode  280 score 10086.00 average score 10097.17 epsilon 0.05
episode  281 score 10202.00 average score 10100.44 epsilon 0.05
episode  282 score 10188.00 average score 10100.69 epsilon 0.05
episode  283 score 10186.00 average score 10102.40 epsilon 0.05
episode  284 score 10169.00 average score 10104.29 epsilon 0.05
episode  285 score 10181.00 average score 10106.27 epsilon 0.05
episode  286 score 10113.00 average score 10107.51 epsilon 0.05
episode  287 score 10052.00 average score 10108.18 epsilon 0.05
episode  288 score 10188.00 average score 10112.63 epsilon 0.05
episode  289 score 10194.00 average score 10114.97 epsilon 0.05
episode  290 score 10176.00 average score 10115.47 epsilon 0.05
episode  291 score 10186.00 average score 10116.27 epsilon 0.05
episode  292 score 10167.00 average score 10116.16 epsilon 0.05
episode  293 score 10127.00 average score 10116.64 epsilon 0.05
episode  294 score 10132.00 average score 10116.66 epsilon 0.05
episode  295 score 10170.00 average score 10117.45 epsilon 0.05
episode  296 score 10079.00 average score 10118.80 epsilon 0.05
episode  297 score 10194.00 average score 10119.57 epsilon 0.05
episode  298 score 10152.00 average score 10120.07 epsilon 0.05
episode  299 score 10152.00 average score 10120.00 epsilon 0.05
episode  300 score 10139.00 average score 10121.60 epsilon 0.05
episode  301 score 10203.00 average score 10123.64 epsilon 0.05
episode  302 score 10178.00 average score 10125.27 epsilon 0.05
episode  303 score 10206.00 average score 10126.45 epsilon 0.05
episode  304 score 10166.00 average score 10127.10 epsilon 0.05
episode  305 score 10172.00 average score 10127.20 epsilon 0.05
episode  306 score 10202.00 average score 10129.92 epsilon 0.05
episode  307 score 10108.00 average score 10130.00 epsilon 0.05
episode  308 score 9983.00 average score 10128.34 epsilon 0.05
episode  309 score 10187.00 average score 10129.59 epsilon 0.05
episode  310 score 10168.00 average score 10131.44 epsilon 0.05
episode  311 score 9833.00 average score 10128.67 epsilon 0.05
episode  312 score 10130.00 average score 10131.13 epsilon 0.05
episode  313 score 10176.00 average score 10131.93 epsilon 0.05
episode  314 score 9994.00 average score 10131.37 epsilon 0.05
episode  315 score 10063.00 average score 10130.05 epsilon 0.05
episode  316 score 10107.00 average score 10131.14 epsilon 0.05
episode  317 score 10128.00 average score 10131.56 epsilon 0.05
episode  318 score 10094.00 average score 10130.67 epsilon 0.05
episode  319 score 10145.00 average score 10130.76 epsilon 0.05
episode  320 score 10150.00 average score 10130.69 epsilon 0.05
episode  321 score 10105.00 average score 10130.18 epsilon 0.05
episode  322 score 10168.00 average score 10130.70 epsilon 0.05
episode  323 score 10193.00 average score 10131.01 epsilon 0.05
episode  324 score 10164.00 average score 10130.83 epsilon 0.05
episode  325 score 10166.00 average score 10130.53 epsilon 0.05
episode  326 score 10120.00 average score 10130.00 epsilon 0.05
episode  327 score 10141.00 average score 10130.36 epsilon 0.05
episode  328 score 10190.00 average score 10132.75 epsilon 0.05
episode  329 score 10195.00 average score 10132.78 epsilon 0.05
episode  330 score 9966.00 average score 10130.51 epsilon 0.05
episode  331 score 10145.00 average score 10132.72 epsilon 0.05
episode  332 score 10128.00 average score 10132.26 epsilon 0.05
episode  333 score 10130.00 average score 10132.26 epsilon 0.05
episode  334 score 10182.00 average score 10132.32 epsilon 0.05
episode  335 score 10144.00 average score 10133.10 epsilon 0.05
episode  336 score 10197.00 average score 10133.54 epsilon 0.05
episode  337 score 10129.00 average score 10133.69 epsilon 0.05
episode  338 score 10170.00 average score 10134.14 epsilon 0.05
episode  339 score 10181.00 average score 10134.26 epsilon 0.05
episode  340 score 10193.00 average score 10134.39 epsilon 0.05
episode  341 score 10164.00 average score 10134.71 epsilon 0.05
episode  342 score 10159.00 average score 10134.50 epsilon 0.05
episode  343 score 10100.00 average score 10133.62 epsilon 0.05
episode  344 score 10164.00 average score 10134.01 epsilon 0.05
episode  345 score 10190.00 average score 10134.11 epsilon 0.05
episode  346 score 10102.00 average score 10135.24 epsilon 0.05
episode  347 score 10128.00 average score 10135.43 epsilon 0.05
episode  348 score 10132.00 average score 10135.65 epsilon 0.05
episode  349 score 9983.00 average score 10133.98 epsilon 0.05
episode  350 score 10197.00 average score 10134.29 epsilon 0.05
episode  351 score 10189.00 average score 10134.65 epsilon 0.05
episode  352 score 10115.00 average score 10135.47 epsilon 0.05
episode  353 score 10186.00 average score 10135.47 epsilon 0.05
episode  354 score 10187.00 average score 10139.39 epsilon 0.05
episode  355 score 10128.00 average score 10139.65 epsilon 0.05
episode  356 score 10174.00 average score 10139.87 epsilon 0.05
episode  357 score 9981.00 average score 10138.44 epsilon 0.05
episode  358 score 9983.00 average score 10136.92 epsilon 0.05
episode  359 score 10163.00 average score 10137.27 epsilon 0.05
episode  360 score 10109.00 average score 10136.77 epsilon 0.05
episode  361 score 10060.00 average score 10136.58 epsilon 0.05
episode  362 score 10175.00 average score 10137.51 epsilon 0.05
episode  363 score 10184.00 average score 10138.24 epsilon 0.05
episode  364 score 10155.00 average score 10137.81 epsilon 0.05
episode  365 score 10158.00 average score 10137.75 epsilon 0.05
episode  366 score 10206.00 average score 10138.60 epsilon 0.05
episode  367 score 10199.00 average score 10139.89 epsilon 0.05
episode  368 score 9981.00 average score 10138.33 epsilon 0.05
episode  369 score 10199.00 average score 10139.03 epsilon 0.05
episode  370 score 10135.00 average score 10140.50 epsilon 0.05
episode  371 score 10171.00 average score 10140.32 epsilon 0.05
episode  372 score 10162.00 average score 10140.23 epsilon 0.05
episode  373 score 10185.00 average score 10140.38 epsilon 0.05
episode  374 score 10119.00 average score 10140.44 epsilon 0.05
episode  375 score 10107.00 average score 10139.66 epsilon 0.05
episode  376 score 10190.00 average score 10140.60 epsilon 0.05
episode  377 score 10182.00 average score 10140.70 epsilon 0.05
episode  378 score 10153.00 average score 10140.45 epsilon 0.05
episode  379 score 10206.00 average score 10140.94 epsilon 0.05
episode  380 score 10204.00 average score 10142.12 epsilon 0.05
episode  381 score 10121.00 average score 10141.31 epsilon 0.05
episode  382 score 10197.00 average score 10141.40 epsilon 0.05
episode  383 score 10183.00 average score 10141.37 epsilon 0.05
episode  384 score 10185.00 average score 10141.53 epsilon 0.05
episode  385 score 10120.00 average score 10140.92 epsilon 0.05
episode  386 score 10208.00 average score 10141.87 epsilon 0.05
episode  387 score 10185.00 average score 10143.20 epsilon 0.05
episode  388 score 10175.00 average score 10143.07 epsilon 0.05
episode  389 score 10195.00 average score 10143.08 epsilon 0.05
episode  390 score 10190.00 average score 10143.22 epsilon 0.05
episode  391 score 10180.00 average score 10143.16 epsilon 0.05
episode  392 score 10202.00 average score 10143.51 epsilon 0.05
episode  393 score 10195.00 average score 10144.19 epsilon 0.05
episode  394 score 10173.00 average score 10144.60 epsilon 0.05
episode  395 score 10202.00 average score 10144.92 epsilon 0.05
episode  396 score 10183.00 average score 10145.96 epsilon 0.05
episode  397 score 10198.00 average score 10146.00 epsilon 0.05
episode  398 score 10108.00 average score 10145.56 epsilon 0.05
episode  399 score 10197.00 average score 10146.01 epsilon 0.05
episode  400 score 10147.00 average score 10146.09 epsilon 0.05
episode  401 score 10199.00 average score 10146.05 epsilon 0.05
episode  402 score 10192.00 average score 10146.19 epsilon 0.05
episode  403 score 10186.00 average score 10145.99 epsilon 0.05
episode  404 score 10163.00 average score 10145.96 epsilon 0.05
episode  405 score 10176.00 average score 10146.00 epsilon 0.05
episode  406 score 10149.00 average score 10145.47 epsilon 0.05
episode  407 score 10183.00 average score 10146.22 epsilon 0.05
episode  408 score 10188.00 average score 10148.27 epsilon 0.05
episode  409 score 9975.00 average score 10146.15 epsilon 0.05
episode  410 score 10181.00 average score 10146.28 epsilon 0.05
episode  411 score 10179.00 average score 10149.74 epsilon 0.05
episode  412 score 10206.00 average score 10150.50 epsilon 0.05
episode  413 score 9983.00 average score 10148.57 epsilon 0.05
episode  414 score 10191.00 average score 10150.54 epsilon 0.05
episode  415 score 10186.00 average score 10151.77 epsilon 0.05
episode  416 score 9924.00 average score 10149.94 epsilon 0.05
episode  417 score 10168.00 average score 10150.34 epsilon 0.05
episode  418 score 10165.00 average score 10151.05 epsilon 0.05
