#X##X##X##X##X#
XRX  X  X  XX X
#X## ## ## ##X#
#X##X##X##X##X#
X X  X  X  XX X
# ## ## ##X##X#
#X##X##X##X##X#
X X  X  XX XX X
# ## ##X##X##X#
#X##X##X##X##X#
X X  XX XX XX X
# ##X##X##X##X#
#X##X##X##X##X#
X XX XX XX XX X
#X##X##X##X##X#

episode  326 score -304.00 average score -303.76 epsilon 0.01
episode  327 score -304.00 average score -303.80 epsilon 0.01
episode  328 score -304.00 average score -303.72 epsilon 0.01
episode  329 score -300.00 average score -303.72 epsilon 0.01
episode  330 score -304.00 average score -303.76 epsilon 0.01
episode  331 score -300.00 average score -303.72 epsilon 0.01
episode  332 score -300.00 average score -303.64 epsilon 0.01
episode  333 score -300.00 average score -303.56 epsilon 0.01
episode  334 score -300.00 average score -303.56 epsilon 0.01
episode  335 score -304.00 average score -303.60 epsilon 0.01
episode  336 score -300.00 average score -303.60 epsilon 0.01
episode  337 score -300.00 average score -303.56 epsilon 0.01
episode  338 score -300.00 average score -303.56 epsilon 0.01
episode  339 score -300.00 average score -303.44 epsilon 0.01
episode  340 score -308.00 average score -303.52 epsilon 0.01
episode  341 score -308.00 average score -303.60 epsilon 0.01
episode  342 score -300.00 average score -303.60 epsilon 0.01
episode  343 score -312.00 average score -303.68 epsilon 0.01
episode  344 score -304.00 average score -303.64 epsilon 0.01
episode  345 score -300.00 average score -303.64 epsilon 0.01
episode  346 score -304.00 average score -303.64 epsilon 0.01
episode  347 score -300.00 average score -303.60 epsilon 0.01
episode  348 score -300.00 average score -303.56 epsilon 0.01
episode  349 score -308.00 average score -303.56 epsilon 0.01
episode  350 score -300.00 average score -303.56 epsilon 0.01
episode  351 score -300.00 average score -303.56 epsilon 0.01
episode  352 score -300.00 average score -303.52 epsilon 0.01
episode  353 score -300.00 average score -303.52 epsilon 0.01
episode  354 score -300.00 average score -303.52 epsilon 0.01
episode  355 score -304.00 average score -303.52 epsilon 0.01
episode  356 score -304.00 average score -303.52 epsilon 0.01
episode  357 score -304.00 average score -303.52 epsilon 0.01
episode  358 score -304.00 average score -303.56 epsilon 0.01
episode  359 score -304.00 average score -303.52 epsilon 0.01
episode  360 score -304.00 average score -303.56 epsilon 0.01
episode  361 score -304.00 average score -303.56 epsilon 0.01
episode  362 score -300.00 average score -303.48 epsilon 0.01
episode  363 score -308.00 average score -303.48 epsilon 0.01
episode  364 score -300.00 average score -303.36 epsilon 0.01
episode  365 score -308.00 average score -303.36 epsilon 0.01
episode  366 score -312.00 average score -303.40 epsilon 0.01
episode  367 score -308.00 average score -303.44 epsilon 0.01
episode  368 score -300.00 average score -303.40 epsilon 0.01
episode  369 score -304.00 average score -303.36 epsilon 0.01
episode  370 score -304.00 average score -303.24 epsilon 0.01
episode  371 score -308.00 average score -303.32 epsilon 0.01
episode  372 score -304.00 average score -303.36 epsilon 0.01
episode  373 score -304.00 average score -303.28 epsilon 0.01
episode  374 score -304.00 average score -303.32 epsilon 0.01
episode  375 score -304.00 average score -303.32 epsilon 0.01
episode  376 score -300.00 average score -303.28 epsilon 0.01
episode  377 score -300.00 average score -303.28 epsilon 0.01
episode  378 score -304.00 average score -303.32 epsilon 0.01
episode  379 score -300.00 average score -303.28 epsilon 0.01
episode  380 score -308.00 average score -303.32 epsilon 0.01
episode  381 score -308.00 average score -303.36 epsilon 0.01
episode  382 score -300.00 average score -303.20 epsilon 0.01
episode  383 score -304.00 average score -303.20 epsilon 0.01
episode  384 score -304.00 average score -303.24 epsilon 0.01
episode  385 score -300.00 average score -303.24 epsilon 0.01
episode  386 score -300.00 average score -303.20 epsilon 0.01
episode  387 score -300.00 average score -303.20 epsilon 0.01
episode  388 score -300.00 average score -303.12 epsilon 0.01
episode  389 score -304.00 average score -303.12 epsilon 0.01
episode  390 score -304.00 average score -303.16 epsilon 0.01
episode  391 score -304.00 average score -303.16 epsilon 0.01
episode  392 score -300.00 average score -303.12 epsilon 0.01
episode  393 score -304.00 average score -303.08 epsilon 0.01
episode  394 score -308.00 average score -303.00 epsilon 0.01
episode  395 score -308.00 average score -303.08 epsilon 0.01
episode  396 score -308.00 average score -303.08 epsilon 0.01
episode  397 score -308.00 average score -303.16 epsilon 0.01
episode  398 score -300.00 average score -303.12 epsilon 0.01
episode  399 score -300.00 average score -303.12 epsilon 0.01
episode  400 score -300.00 average score -303.04 epsilon 0.01
episode  401 score -300.00 average score -303.00 epsilon 0.01
episode  402 score -300.00 average score -302.96 epsilon 0.01
episode  403 score -300.00 average score -302.88 epsilon 0.01
episode  404 score -316.00 average score -303.04 epsilon 0.01
episode  405 score -304.00 average score -303.08 epsilon 0.01
episode  406 score -312.00 average score -303.20 epsilon 0.01
episode  407 score -304.00 average score -303.24 epsilon 0.01
episode  408 score -300.00 average score -303.20 epsilon 0.01
episode  409 score -300.00 average score -303.16 epsilon 0.01
episode  410 score -300.00 average score -303.16 epsilon 0.01
episode  411 score -304.00 average score -303.16 epsilon 0.01
episode  412 score -304.00 average score -303.20 epsilon 0.01
episode  413 score -312.00 average score -303.32 epsilon 0.01
episode  414 score -304.00 average score -303.28 epsilon 0.01
episode  415 score -300.00 average score -303.20 epsilon 0.01
episode  416 score -300.00 average score -303.20 epsilon 0.01
episode  417 score -300.00 average score -303.12 epsilon 0.01
episode  418 score -300.00 average score -303.08 epsilon 0.01
episode  419 score -300.00 average score -303.08 epsilon 0.01
episode  420 score -300.00 average score -303.04 epsilon 0.01
episode  421 score -300.00 average score -303.04 epsilon 0.01
episode  422 score -304.00 average score -303.08 epsilon 0.01
episode  423 score -300.00 average score -303.04 epsilon 0.01
episode  424 score -312.00 average score -303.12 epsilon 0.01
episode  425 score -300.00 average score -303.12 epsilon 0.01
episode  426 score -300.00 average score -303.08 epsilon 0.01
episode  427 score -300.00 average score -303.04 epsilon 0.01
episode  428 score -300.00 average score -303.00 epsilon 0.01
episode  429 score -308.00 average score -303.08 epsilon 0.01
episode  430 score -304.00 average score -303.08 epsilon 0.01
episode  431 score -300.00 average score -303.08 epsilon 0.01
episode  432 score -300.00 average score -303.08 epsilon 0.01
episode  433 score -300.00 average score -303.08 epsilon 0.01
episode  434 score -304.00 average score -303.12 epsilon 0.01
episode  435 score -300.00 average score -303.08 epsilon 0.01
episode  436 score -300.00 average score -303.08 epsilon 0.01
episode  437 score -308.00 average score -303.16 epsilon 0.01
episode  438 score -312.00 average score -303.28 epsilon 0.01
episode  439 score -304.00 average score -303.32 epsilon 0.01
episode  440 score -300.00 average score -303.24 epsilon 0.01
episode  441 score -304.00 average score -303.20 epsilon 0.01
episode  442 score -304.00 average score -303.24 epsilon 0.01
episode  443 score -300.00 average score -303.12 epsilon 0.01
episode  444 score -300.00 average score -303.08 epsilon 0.01
episode  445 score -300.00 average score -303.08 epsilon 0.01
episode  446 score -304.00 average score -303.08 epsilon 0.01
episode  447 score -304.00 average score -303.12 epsilon 0.01
episode  448 score -300.00 average score -303.12 epsilon 0.01
episode  449 score -304.00 average score -303.08 epsilon 0.01
episode  450 score -304.00 average score -303.12 epsilon 0.01
episode  451 score -304.00 average score -303.16 epsilon 0.01
episode  452 score -304.00 average score -303.20 epsilon 0.01
episode  453 score -300.00 average score -303.20 epsilon 0.01
episode  454 score -304.00 average score -303.24 epsilon 0.01
episode  455 score -308.00 average score -303.28 epsilon 0.01
episode  456 score -304.00 average score -303.28 epsilon 0.01
episode  457 score -300.00 average score -303.24 epsilon 0.01
episode  458 score -304.00 average score -303.24 epsilon 0.01
episode  459 score -308.00 average score -303.28 epsilon 0.01
episode  460 score -308.00 average score -303.32 epsilon 0.01
episode  461 score -304.00 average score -303.32 epsilon 0.01
